dataset,method,mult,xi,kind,HF,MC,AC,RT_hiding_s,AC_remine_s,n_noop,n_safe_blocked,n_deletions,n_boundary,n_boundary_mismatch,source,status
chess_fimi,HFPriority,1.0,0.92,main,0.0,0.584906,0.0,0.306,0.179,,,3246,0,0,hshfwup-run,ok
chess_fimi,MCPriority_safeT,1.0,0.92,main,0.821429,0.0,0.0,5.666,0.322,1,109286,215,3,0,hshfwup-run,ok
chess_fimi,MCPriority_safeF,1.0,0.92,main,0.0,0.864151,0.0,1.865,0.117,0,0,18919,0,0,hshfwup-run,ok
chess_fimi,MSU-MAU,1.0,0.92,main,0.0,0.554717,0.0,0.611,0.194,,,251,0,0,hshfwup-run,ok
chess_fimi,MSU-MIU,1.0,0.92,main,0.0,0.535849,0.0,0.039,0.205,,,211,0,0,hshfwup-run,ok
chess_fimi,HFPriority,0.6,0.552,sweep,0.0,0.330989,0.002178,88.59,166.496,,,378,6,0,hshfwup-run,ok
chess_fimi,MCPriority_safeT,0.6,0.552,sweep,1.0,0.0,0.0,191.39,191.453,1,48262,0,0,0,hshfwup-run,ok
chess_fimi,MCPriority_safeF,0.6,0.552,sweep,0.0,0.76515,0.003034,1709.535,47.085,0,0,7915,0,0,hshfwup-run,ok
chess_fimi,MSU-MAU,0.6,0.552,sweep,0.0,0.321997,0.001823,88.37,156.445,,,394,3,0,hshfwup-run,ok
chess_fimi,MSU-MIU,0.6,0.552,sweep,0.0,0.274311,0.001722,61.566,160.274,,,254,11,0,hshfwup-run,ok
chess_fimi,HFPriority,0.8,0.736,sweep,0.0,0.334497,0.001205,3.299,12.251,,,238,0,0,hshfwup-run,ok
chess_fimi,MCPriority_safeT,0.8,0.736,sweep,1.0,0.0,0.00016,95.784,16.25,1,78352,9,0,0,hshfwup-run,ok
chess_fimi,MCPriority_safeF,0.8,0.736,sweep,0.0,0.790553,0.0,90.507,3.584,0,0,8087,0,0,hshfwup-run,ok
chess_fimi,MSU-MAU,0.8,0.736,sweep,0.0,0.385304,0.00163,5.063,11.375,,,311,2,0,hshfwup-run,ok
chess_fimi,MSU-MIU,0.8,0.736,sweep,0.0,0.328277,0.000895,2.976,10.94,,,221,0,0,hshfwup-run,ok
mushroom,HFPriority,1.0,0.457,main,0.0,0.516605,0.007576,0.578,0.413,,,8142,0,0,hshfwup-run,ok
mushroom,MCPriority_safeT,1.0,0.457,main,1.0,0.0,0.0,28.291,0.476,1,1028068,3305,14,0,hshfwup-run,ok
mushroom,MCPriority_safeF,1.0,0.457,main,0.0,0.870849,0.0,3.481,0.128,0,0,47971,0,0,hshfwup-run,ok
mushroom,MSU-MAU,1.0,0.457,main,0.035714,0.490775,0.0,16.582,0.419,,,3815,0,0,hshfwup-run,ok
mushroom,MSU-MIU,1.0,0.457,main,0.0,0.523985,0.030075,0.289,0.361,,,4019,0,0,hshfwup-run,ok
mushroom,HFPriority,0.4,0.183,sweep,0.0,0.515277,0.009968,60.306,3.648,,,3734,0,0,hshfwup-run,ok
mushroom,MCPriority_safeT,0.4,0.183,sweep,1.0,0.0,0.0,60.262,6.416,1,98978,320,14,0,hshfwup-run,ok
mushroom,MCPriority_safeF,0.4,0.183,sweep,0.0,0.474667,0.001259,60.704,4.134,0,0,3814,0,0,hshfwup-run,ok
mushroom,MSU-MAU,0.4,0.183,sweep,0.0,0.410353,0.001358,20.883,5.013,,,1057,0,0,hshfwup-run,ok
mushroom,MSU-MIU,0.4,0.183,sweep,0.0,0.300967,0.000249,10.878,6.103,,,696,0,0,hshfwup-run,ok
mushroom,HFPriority,0.6,0.274,sweep,0.0,0.419033,0.006672,3.762,2.278,,,3611,0,0,hshfwup-run,ok
mushroom,MCPriority_safeT,0.6,0.274,sweep,1.0,0.0,0.0,41.447,2.22,1,128697,622,16,0,hshfwup-run,ok
mushroom,MCPriority_safeF,0.6,0.274,sweep,0.0,0.427921,0.006775,6.162,1.61,0,0,6035,0,0,hshfwup-run,ok
mushroom,MSU-MAU,0.6,0.274,sweep,0.0,0.311294,0.0,2.786,2.062,,,614,0,0,hshfwup-run,ok
mushroom,MSU-MIU,0.6,0.274,sweep,0.0,0.278344,0.001799,0.686,2.246,,,583,0,0,hshfwup-run,ok
mushroom,HFPriority,0.8,0.366,sweep,0.0,0.570349,0.00655,1.556,0.948,,,8110,0,0,hshfwup-run,ok
mushroom,MCPriority_safeT,0.8,0.366,sweep,1.0,0.0,0.0,55.298,0.972,1,737181,4680,20,0,hshfwup-run,ok
mushroom,MCPriority_safeF,0.8,0.366,sweep,0.0,0.876298,0.0,8.779,0.225,0,0,47769,0,0,hshfwup-run,ok
mushroom,MSU-MAU,0.8,0.366,sweep,0.0,0.544854,0.0,13.459,0.935,,,3463,0,0,hshfwup-run,ok
mushroom,MSU-MIU,0.8,0.366,sweep,0.0,0.513692,0.003868,0.792,0.751,,,3948,0,0,hshfwup-run,ok
mushroom,HFPriority,1.2,0.548,sweep,0.0,0.359551,0.0,0.118,0.233,,,2740,0,0,hshfwup-run,ok
mushroom,MCPriority_safeT,1.2,0.548,sweep,1.0,0.0,0.0,6.388,0.254,1,474504,3849,12,0,hshfwup-run,ok
mushroom,MCPriority_safeF,1.2,0.548,sweep,0.0,0.741573,0.0,0.956,0.135,0,0,22821,0,0,hshfwup-run,ok
mushroom,MSU-MAU,1.2,0.548,sweep,0.0,0.359551,0.0,13.766,0.233,,,2739,0,0,hshfwup-run,ok
bms-pos,HFPriority,0.4,0.008,sweep,0.0,0.286448,0.0,5.728,302.994,,,36362,1,0,hshfwup-run,ok
bms-pos,MCPriority_safeT,0.4,0.008,sweep,0.8,0.0,0.0,553.095,306.178,1,2441592,27184,115,0,hshfwup-run,ok
bms-pos,MCPriority_safeF,0.4,0.008,sweep,0.0,0.465639,0.0,22.113,270.202,0,0,140705,2,0,hshfwup-run,ok
bms-pos,MSU-MAU,0.4,0.008,sweep,0.075,0.291586,0.0,627.631,296.022,,,35060,2,0,hshfwup-run,ok
bms-pos,MSU-MIU,0.4,0.008,sweep,0.05,0.273603,0.007011,5.984,290.904,,,42054,2,0,hshfwup-run,ok
kosarak,HFPriority,0.4,0.004,sweep,0.0,0.361605,0.0,10.507,324.081,,,50846,1,0,hshfwup-run,ok
kosarak,MCPriority_safeT,0.4,0.004,sweep,0.675,0.0,0.0,592.119,328.363,1,1604388,46329,126,0,hshfwup-run,ok
kosarak,MCPriority_safeF,0.4,0.004,sweep,0.0,0.37938,0.0,34.388,287.358,0,0,155128,2,0,hshfwup-run,ok
kosarak,MSU-MAU,0.4,0.004,sweep,0.125,0.309294,0.0,1281.275,314.322,,,58136,3,0,hshfwup-run,ok
kosarak,MSU-MIU,0.4,0.004,sweep,0.0,0.283393,0.007736,6.422,320.518,,,34793,2,0,hshfwup-run,ok
accident,HFPriority,0.8,0.601,sweep,0.0,0.41168,0.002435,46.142,367.927,,,63549,0,0,hshfwup-run,ok
accident,MCPriority_safeT,0.8,0.601,sweep,0.875,0.0,0.0,7200.0,589.59,,14317999,27189,19,0,hshfwup-run,timeout
accident,MCPriority_safeF,0.8,0.601,sweep,0.0,0.847774,0.003135,837.63,97.375,0,0,1787884,0,0,hshfwup-run,ok
accident,MSU-MAU,0.8,0.601,sweep,0.625,0.147439,0.0,7200.0,522.227,,,13770,0,0,hshfwup-run,timeout
accident,MSU-MIU,0.8,0.601,sweep,0.0,0.390139,0.00313,29.093,396.283,,,49743,0,0,hshfwup-run,ok
